Protein	Entry	Protein description	Gene.names	Gene	Mitochondrion	Annotation (general)	AgingAnnotation (elife paper)	ENSG	name	type	description	r_CTR_lower	r_CTR	r_CTR_upper	r_PAD_lower	r_PAD	r_PAD_upper	diff	r_CTR_pval	r_PAD_pval
AR6P6_HUMAN	Q8N6S5	ADP-ribosylation factor-like protein 6-interacting protein 6 (ARL-6-interacting protein 6) (Aip-6) (Phosphonoformate immuno-associated protein 1)	ARL6IP6 PFAAP1	ARL6IP6	FALSE	NA	NA	ENSG00000177917	ARL6IP6	protein_coding	ADP ribosylation factor like GTPase 6 interacting protein 6 [Source:HGNC Symbol;Acc:HGNC:24048]	-0.927287703746199	-0.247525802035533	0.812087244655747	-0.958122444325601	-0.490403787466234	0.690709861487284	0	0.688088858420965	0.401617117051247
ARAID_HUMAN	Q6UW56	All-trans retinoic acid-induced differentiation factor (Apoptosis-related protein 3) (APR-3) (p18)	ATRAID APR3 C2orf28 HSPC013 UNQ214/PRO240	ATRAID	FALSE	NA	NA	ENSG00000138085	ATRAID	protein_coding	all-trans retinoic acid induced differentiation factor [Source:HGNC Symbol;Acc:HGNC:24090]	-0.955250957765669	-0.464236401109563	0.708021678364548	-0.939698427417247	-0.335986140772565	0.776439778336674	0	0.430892655154133	0.580399912519707
ARAP2_HUMAN	Q8WZ64	Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 2 (Centaurin-delta-1) (Cnt-d1) (Protein PARX)	ARAP2 CENTD1 KIAA0580	ARAP2	FALSE	NA	NA	ENSG00000047365	ARAP2	protein_coding	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2 [Source:HGNC Symbol;Acc:HGNC:16924]	-0.964510839012941	-0.551811238435094	0.643966996280319	-0.852481498960104	0.120156618964933	0.906341631684598	0	0.334905499342806	0.847380773191747
ARAP3_HUMAN	Q8WWN8	Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3 (Centaurin-delta-3) (Cnt-d3)	ARAP3 CENTD3	ARAP3	FALSE	NA	NA	ENSG00000120318	ARAP3	protein_coding	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:24097]	-0.97470573411296	-0.660045723308297	0.53205638688239	-0.930255957822035	-0.267699534398171	0.804598925207754	0	0.225410236699878	0.663270294258501
ARCH_HUMAN	Q8IWT0	Protein archease (Protein ZBTB8OS) (Zinc finger and BTB domain-containing opposite strand protein 8)	ZBTB8OS ARCH	ZBTB8OS	FALSE	NA	NA	ENSG00000176261	ZBTB8OS	protein_coding	zinc finger and BTB domain containing 8 opposite strand [Source:HGNC Symbol;Acc:HGNC:24094]	-0.21083777123563	0.269146155025457	0.644558957719802	0.00329592304675268	0.445167422082897	0.741596735493087	0	0.265170396426384	0.0491941217560542
AREL1_HUMAN	O15033	Apoptosis-resistant E3 ubiquitin protein ligase 1 (EC 2.3.2.26) (Apoptosis-resistant HECT-type E3 ubiquitin transferase 1)	AREL1 KIAA0317	AREL1	FALSE	NA	NA	ENSG00000119682	AREL1	protein_coding	apoptosis resistant E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:20363]	-0.912421282935813	-0.154639233988224	0.842583372577427	-0.692083774281924	0.488402064542783	0.95790605756663	0	0.803894777059234	0.403839706345737
ARF1_HUMAN	P84077	ADP-ribosylation factor 1	ARF1	ARF1	FALSE	NA	NA	ENSG00000143761	ARF1	protein_coding	ADP ribosylation factor 1 [Source:HGNC Symbol;Acc:HGNC:652]	-0.80040873174234	-0.290943532109624	0.462553684793742	-0.796836112575001	-0.335566573186753	0.372832312312231	0	0.447527793980053	0.343171096144473
ARF3_HUMAN	P61204	ADP-ribosylation factor 3	ARF3	ARF3	FALSE	NA	NA	ENSG00000134287	ARF3	protein_coding	ADP ribosylation factor 3 [Source:HGNC Symbol;Acc:HGNC:654]	-0.399006313910974	0.360695697786392	0.826768458480042	-0.648948305292949	-0.0803542120232934	0.545831222346303	0	0.340271626207078	0.814321027001218
ARFG3_HUMAN	Q9NP61	ADP-ribosylation factor GTPase-activating protein 3 (ARF GAP 3)	ARFGAP3 ARFGAP1	ARFGAP3	FALSE	NA	NA	ENSG00000242247	ARFGAP3	protein_coding	ADP ribosylation factor GTPase activating protein 3 [Source:HGNC Symbol;Acc:HGNC:661]	-0.827320241835192	0.203441749317506	0.920489649008524	-0.866218912048931	0.0680659658455096	0.89649574540832	0	0.742767993148329	0.913402686133904
ARFP1_HUMAN	P53367	Arfaptin-1 (ADP-ribosylation factor-interacting protein 1)	ARFIP1	ARFIP1	FALSE	NA	NA	ENSG00000164144	ARFIP1	protein_coding	ADP ribosylation factor interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:21496]	-0.0513089028499276	0.412514014467112	0.72995358024554	-0.704901753793357	-0.381330930278118	0.0736115739492501	-1	0.0792297963750973	0.0971298446175335
ARFRP_HUMAN	Q13795	ADP-ribosylation factor-related protein 1 (ARF-related protein 1) (ARP)	ARFRP1 ARP1	ARFRP1	FALSE	NA	NA	ENSG00000101246	ARFRP1	protein_coding	ADP ribosylation factor related protein 1 [Source:HGNC Symbol;Acc:HGNC:662]	-0.450925280990529	0.249552600269942	0.759796038875747	-0.178103902060747	0.508550716779043	0.862126711310693	0	0.486848724373938	0.133356920406587
ARH_HUMAN	Q5SW96	Low density lipoprotein receptor adapter protein 1 (Autosomal recessive hypercholesterolemia protein)	LDLRAP1 ARH	LDLRAP1	FALSE	NA	NA	ENSG00000157978	LDLRAP1	protein_coding	low density lipoprotein receptor adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:18640]	-0.862070076267815	-0.463058188240262	0.290355751327992	-0.648707228211064	-0.0322554412926665	0.609754282084212	0	0.20938588760837	0.929514586661902
ARH37_HUMAN	A1IGU5	Rho guanine nucleotide exchange factor 37	ARHGEF37	ARHGEF37	FALSE	NA	NA	ENSG00000183111	ARHGEF37	protein_coding	Rho guanine nucleotide exchange factor 37 [Source:HGNC Symbol;Acc:HGNC:34430]	-0.90306777071214	0.439296528575823	0.984658575553066	-0.948269498835183	-0.40400070406203	0.743152060655574	0	0.560703471424177	0.49996744533391
ARH40_HUMAN	Q8TER5	Rho guanine nucleotide exchange factor 40 (Protein SOLO)	ARHGEF40 SOLO	ARHGEF40	FALSE	NA	NA	ENSG00000165801	ARHGEF40	protein_coding	Rho guanine nucleotide exchange factor 40 [Source:HGNC Symbol;Acc:HGNC:25516]	-0.815645726124891	-0.330613270017455	0.427337939346414	-0.573021964205899	0.0885535419659676	0.680251959653098	0	0.384851577156465	0.807801021532574
ARHG1_HUMAN	Q92888	Rho guanine nucleotide exchange factor 1 (115 kDa guanine nucleotide exchange factor) (p115-RhoGEF) (p115RhoGEF) (Sub1.5)	ARHGEF1	ARHGEF1	FALSE	NA	NA	ENSG00000076928	ARHGEF1	protein_coding	Rho guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:681]	-0.773329543406326	-0.411658999401963	0.152153551137839	-0.596683131765971	-0.14338936666216	0.379274357136094	0	0.143614748380818	0.596262550520203
ARHG2_HUMAN	Q92974	Rho guanine nucleotide exchange factor 2 (Guanine nucleotide exchange factor H1) (GEF-H1) (Microtubule-regulated Rho-GEF) (Proliferating cell nucleolar antigen p40)	ARHGEF2 KIAA0651 LFP40	ARHGEF2	FALSE	NA	NA	ENSG00000116584	ARHGEF2	protein_coding	Rho/Rac guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:682]	-0.390442519146642	0.176753347888431	0.646685575567348	-0.581819839613702	-0.0990903470131782	0.435266770037039	0	0.545523810024567	0.725327604846605
ARHG5_HUMAN	Q12774	Rho guanine nucleotide exchange factor 5 (Ephexin-3) (Guanine nucleotide regulatory protein TIM) (Oncogene TIM) (Transforming immortalized mammary oncogene) (p60 TIM)	ARHGEF5 TIM	ARHGEF5	FALSE	NA	NA	ENSG00000050327	ARHGEF5	protein_coding	Rho guanine nucleotide exchange factor 5 [Source:HGNC Symbol;Acc:HGNC:13209]	-0.386063867024705	0.32177922998716	0.791123402123283	-0.488126380739635	0.204283990890031	0.738874368564894	0	0.36457403869866	0.571315266340664
ARHGB_HUMAN	O15085	Rho guanine nucleotide exchange factor 11 (PDZ-RhoGEF)	ARHGEF11 KIAA0380	ARHGEF11	FALSE	NA	NA	ENSG00000132694	ARHGEF11	protein_coding	Rho guanine nucleotide exchange factor 11 [Source:HGNC Symbol;Acc:HGNC:14580]	-0.30696656317768	0.399962100897761	0.82246882569716	-0.588497359375243	0.0653393555820082	0.667504919616537	0	0.25212114036239	0.857678798761367
ARHGH_HUMAN	Q96PE2	Rho guanine nucleotide exchange factor 17 (164 kDa Rho-specific guanine-nucleotide exchange factor) (p164-RhoGEF) (p164RhoGEF) (Tumor endothelial marker 4)	ARHGEF17 KIAA0337 TEM4	ARHGEF17	FALSE	NA	NA	ENSG00000110237	ARHGEF17	protein_coding	Rho guanine nucleotide exchange factor 17 [Source:HGNC Symbol;Acc:HGNC:21726]	-0.169080305382767	0.261335735503792	0.608038124294788	-0.271364656130611	0.129611184285083	0.49224965843168	0	0.228396524423617	0.528003004495663
ARI1A_HUMAN	O14497	AT-rich interactive domain-containing protein 1A (ARID domain-containing protein 1A) (B120) (BRG1-associated factor 250) (BAF250) (BRG1-associated factor 250a) (BAF250A) (Osa homolog 1) (hOSA1) (SWI-like protein) (SWI/SNF complex protein p270) (SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin subfamily F member 1) (hELD)	ARID1A BAF250 BAF250A C1orf4 OSA1 SMARCF1	ARID1A	FALSE	NA	NA	ENSG00000117713	ARID1A	protein_coding	AT-rich interaction domain 1A [Source:HGNC Symbol;Acc:HGNC:11110]	-0.954540780286686	-0.457894234643616	0.712015611040907	-0.882704645359154	-0.00198092837138073	0.881826671634102	0	0.438058204051153	0.99747780531182
ARK73_HUMAN	O95154	Aflatoxin B1 aldehyde reductase member 3 (EC 1.-.-.-) (AFB1 aldehyde reductase 2) (AFB1-AR 2)	AKR7A3 AFAR2	AKR7A3	FALSE	NA	NA	ENSG00000162482	AKR7A3	protein_coding	aldo-keto reductase family 7 member A3 [Source:HGNC Symbol;Acc:HGNC:390]	-0.797144536752811	0.286889544362769	0.933001220210889	-0.954952967151659	-0.461569081379176	0.709710590659398	0	0.639795397319729	0.433903020336664
ARL5A_HUMAN	Q9Y689	ADP-ribosylation factor-like protein 5A	ARL5A ARFLP5 ARL5	ARL5A	FALSE	NA	NA	ENSG00000162980	ARL5A	protein_coding	ADP ribosylation factor like GTPase 5A [Source:HGNC Symbol;Acc:HGNC:696]	-0.999487820180748	-0.991842829633849	-0.877099798194493	0.103878656738639	0.90335391463302	0.993668059831516	1	0.000883305736839986	0.0355395606482886
ARMD3_HUMAN	Q5T2E6	Armadillo-like helical domain-containing protein 3	ARMH3 C10orf76	ARMH3	FALSE	NA	NA	ENSG00000120029	C10orf76	protein_coding	armadillo like helical domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25788]	-0.965385178729912	-0.0595462734728661	0.956267170491486	-0.474241317719734	0.701564913808059	0.978297379920034	0	0.940453726527134	0.186698997929616
ARP6_HUMAN	Q9GZN1	Actin-related protein 6 (hArp6) (hARPX)	ACTR6 CDA12	ACTR6	FALSE	NA	NA	ENSG00000075089	ACTR6	protein_coding	actin related protein 6 [Source:HGNC Symbol;Acc:HGNC:24025]	-0.782762971174355	0.71992953155383	0.99355856577374	-0.970052236298502	-0.608966167236939	0.590626276544972	0	0.28007046844617	0.27566280199539
ARRD1_HUMAN	Q8N5I2	Arrestin domain-containing protein 1 (Alpha-arrestin 1)	ARRDC1	ARRDC1	FALSE	NA	NA	ENSG00000197070	ARRDC1	protein_coding	arrestin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28633]	-0.929292768091343	-0.261088923210847	0.807090879364816	-0.884698171076524	-0.0110805602132973	0.879786665447452	0	0.671387651044324	0.985892081262092
ARSB_HUMAN	P15848	Arylsulfatase B (ASB) (EC 3.1.6.12) (N-acetylgalactosamine-4-sulfatase) (G4S)	ARSB	ARSB	FALSE	NA	NA	ENSG00000113273	ARSB	protein_coding	arylsulfatase B [Source:HGNC Symbol;Acc:HGNC:714]	-0.120348955275477	0.353165641085646	0.695766283061322	-0.554391157723595	-0.161309507218557	0.290614248245293	-1	0.138024494168334	0.484836665107474
ARSD_HUMAN	P51689	Arylsulfatase D (ASD) (EC 3.1.6.-)	ARSD	ARSD	FALSE	NA	NA	ENSG00000006756	ARSD	protein_coding	arylsulfatase D [Source:HGNC Symbol;Acc:HGNC:717]	-0.988111862586937	-0.536861555208883	0.876445976443086	-0.559068423049883	0.637782496754526	0.972710486481524	0	0.463138444791117	0.246976612175893
ARSK_HUMAN	Q6UWY0	Arylsulfatase K (ASK) (EC 3.1.6.-) (Telethon sulfatase)	ARSK TSULF UNQ630/PRO1246	ARSK	FALSE	NA	NA	ENSG00000164291	ARSK	protein_coding	arylsulfatase family member K [Source:HGNC Symbol;Acc:HGNC:25239]	-0.656504946137788	0.53652106445709	0.962964085780583	-0.892338890485202	-0.0473509554140387	0.871315692504056	0	0.351238437069327	0.939733427834463
ARY1_HUMAN	P18440	Arylamine N-acetyltransferase 1 (EC 2.3.1.5) (Arylamide acetylase 1) (Monomorphic arylamine N-acetyltransferase) (MNAT) (N-acetyltransferase type 1) (NAT-1)	NAT1 AAC1	NAT1	FALSE	NA	NA	ENSG00000171428	NAT1	protein_coding	N-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:7645]	-0.783917818199899	0.318924708808557	0.937422432477156	-0.806327010100693	0.263126006745472	0.92959055046244	0	0.60092521181504	0.668884635212111
ASAP1_HUMAN	Q9ULH1	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1 (130 kDa phosphatidylinositol 4,5-bisphosphate-dependent ARF1 GTPase-activating protein) (ADP-ribosylation factor-directed GTPase-activating protein 1) (ARF GTPase-activating protein 1) (Development and differentiation-enhancing factor 1) (DEF-1) (Differentiation-enhancing factor 1) (PIP2-dependent ARF1 GAP)	ASAP1 DDEF1 KIAA1249	ASAP1	FALSE	NA	NA	ENSG00000153317	ASAP1	protein_coding	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:HGNC:2720]	-0.621089179620575	-0.134995820020067	0.426103799650567	-0.504588051636329	-0.0118456347322795	0.486717674150037	0	0.645421992049857	0.965271034942571
ASAP2_HUMAN	O43150	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2 (Development and differentiation-enhancing factor 2) (Paxillin-associated protein with ARF GAP activity 3) (PAG3) (Pyk2 C-terminus-associated protein) (PAP)	ASAP2 DDEF2 KIAA0400	ASAP2	FALSE	NA	NA	ENSG00000151693	ASAP2	protein_coding	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2 [Source:HGNC Symbol;Acc:HGNC:2721]	-0.128651713488753	0.345762113913477	0.691389768895279	-0.426344257709629	0.0199381861447985	0.458414350187829	0	0.147060551687946	0.93350745805479
ASAP3_HUMAN	Q8TDY4	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 3 (Development and differentiation-enhancing factor-like 1) (Protein up-regulated in liver cancer 1)	ASAP3 DDEFL1 UPLC1	ASAP3	FALSE	NA	NA	ENSG00000088280	ASAP3	protein_coding	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:14987]	-0.934842140471651	0.258480976520653	0.976887100897849	-0.953304746668221	-0.446975220696317	0.718718879377029	0	0.741519023479347	0.450456339845705
ASB16_HUMAN	Q96NS5	Ankyrin repeat and SOCS box protein 16 (ASB-16)	ASB16	ASB16	FALSE	NA	NA	ENSG00000161664	ASB16	protein_coding	ankyrin repeat and SOCS box containing 16 [Source:HGNC Symbol;Acc:HGNC:19768]	-0.550686101217094	-0.0284064833403915	0.509857539906605	-0.12569265665457	0.413173467351515	0.763779724056134	0	0.923206079407445	0.125833137339844
ASB6_HUMAN	Q9NWX5	Ankyrin repeat and SOCS box protein 6 (ASB-6)	ASB6	ASB6	FALSE	NA	NA	ENSG00000148331	ASB6	protein_coding	ankyrin repeat and SOCS box containing 6 [Source:HGNC Symbol;Acc:HGNC:17181]	-0.943917087440132	-0.368693964476844	0.761170946990259	-0.980342436652158	-0.726076007781113	0.434577495078397	0	0.541427884666025	0.164845067553147
ASCC2_HUMAN	Q9H1I8	Activating signal cointegrator 1 complex subunit 2 (ASC-1 complex subunit p100) (Trip4 complex subunit p100)	ASCC2 ASC1P100	ASCC2	FALSE	NA	NA	ENSG00000100325	ASCC2	protein_coding	activating signal cointegrator 1 complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:24103]	-0.326867573777251	0.165215098478485	0.586821306192679	-0.554039119010967	-0.160814582377372	0.291079372241756	0	0.512369688454109	0.48619535111502
ASCC3_HUMAN	Q8N3C0	Activating signal cointegrator 1 complex subunit 3 (EC 3.6.4.12) (ASC-1 complex subunit p200) (ASC1p200) (Helicase, ATP binding 1) (Trip4 complex subunit p200)	ASCC3 HELIC1	ASCC3	FALSE	NA	NA	ENSG00000112249	ASCC3	protein_coding	activating signal cointegrator 1 complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:18697]	-0.438035677407575	0.120564568162402	0.611995289764427	0.0942802232768729	0.578598906693185	0.841458031713108	0	0.681398258357191	0.0238384186486741
ASF1A_HUMAN	Q9Y294	Histone chaperone ASF1A (Anti-silencing function protein 1 homolog A) (hAsf1) (hAsf1a) (CCG1-interacting factor A) (CIA) (hCIA)	ASF1A CGI-98 HSPC146	ASF1A	FALSE	NA	NA	ENSG00000111875	ASF1A	protein_coding	anti-silencing function 1A histone chaperone [Source:HGNC Symbol;Acc:HGNC:20995]	-0.758294111593778	0.374558443288751	0.944654141262758	-0.957487498159158	-0.484544080841101	0.694707847864371	0	0.534495771846767	0.408131414475466
ASGL1_HUMAN	Q7L266	Isoaspartyl peptidase/L-asparaginase (EC 3.4.19.5) (EC 3.5.1.1) (Asparaginase-like protein 1) (Beta-aspartyl-peptidase) (Isoaspartyl dipeptidase) (L-asparagine amidohydrolase) [Cleaved into: Isoaspartyl peptidase/L-asparaginase alpha chain; Isoaspartyl peptidase/L-asparaginase beta chain]	ASRGL1 ALP CRASH	ASRGL1	FALSE	NA	NA	ENSG00000162174	ASRGL1	protein_coding	asparaginase and isoaspartyl peptidase 1 [Source:HGNC Symbol;Acc:HGNC:16448]	-0.755759541806169	0.750331046450224	0.994355262093304	-0.799108936831068	0.0354288996856509	0.823317556450284	0	0.249668953549776	0.946878885771779
ASHWN_HUMAN	Q9BVC5	Ashwin	C2orf49	C2orf49	FALSE	NA	NA	ENSG00000135974	C2orf49	protein_coding	chromosome 2 open reading frame 49 [Source:HGNC Symbol;Acc:HGNC:28772]	-0.712512342180611	-0.091856809100353	0.609443448477275	-0.685779597225125	-0.0988240086184573	0.566021384707049	0	0.814181633099169	0.785921368291554
ASM_HUMAN	P17405	Sphingomyelin phosphodiesterase (EC 3.1.4.12) (Acid sphingomyelinase) (aSMase)	SMPD1 ASM	SMPD1	FALSE	NA	NA	ENSG00000166311	SMPD1	protein_coding	sphingomyelin phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:11120]	-0.433465087106003	0.269793541618902	0.768820917417353	-0.360803332554637	0.347842874506827	0.80185425488389	0	0.450940904127969	0.324668190494398
AT11A_HUMAN	P98196	Phospholipid-transporting ATPase IH (EC 7.6.2.1) (ATPase IS) (ATPase class VI type 11A) (P4-ATPase flippase complex alpha subunit ATP11A)	ATP11A ATPIH ATPIS KIAA1021	ATP11A	FALSE	NA	NA	ENSG00000068650	ATP11A	protein_coding	ATPase phospholipid transporting 11A [Source:HGNC Symbol;Acc:HGNC:13552]	-0.755354254943555	0.38045919408285	0.945389990379885	-0.757190970862074	0.376783427482522	0.944932281730974	0	0.527538638447711	0.531870338574224
AT2C1_HUMAN	P98194	Calcium-transporting ATPase type 2C member 1 (ATPase 2C1) (EC 7.2.2.10) (ATP-dependent Ca(2+) pump PMR1)	ATP2C1 KIAA1347 PMR1L HUSSY-28	ATP2C1	FALSE	NA	NA	ENSG00000017260	ATP2C1	protein_coding	ATPase secretory pathway Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:13211]	-0.145630410019697	0.440718216680832	0.797940272934116	-0.636247016331426	-0.205287535103844	0.323319471265699	-1	0.131723703939644	0.445630845455697
ATG2A_HUMAN	Q2TAZ0	Autophagy-related protein 2 homolog A	ATG2A KIAA0404	ATG2A	FALSE	NA	NA	ENSG00000110046	ATG2A	protein_coding	autophagy related 2A [Source:HGNC Symbol;Acc:HGNC:29028]	-0.437537468461509	0.0208068347161734	0.470568935254603	-0.276565391578323	0.189098371241467	0.582846575746494	0	0.932622076143262	0.424601034045325
ATG2B_HUMAN	Q96BY7	Autophagy-related protein 2 homolog B	ATG2B C14orf103	ATG2B	FALSE	NA	NA	ENSG00000066739	ATG2B	protein_coding	autophagy related 2B [Source:HGNC Symbol;Acc:HGNC:20187]	-0.560356722562059	-0.0423762693373512	0.499432462629024	-0.205347443274397	0.342995764958316	0.727443828603051	0	0.885628704511088	0.210727201912022
ATGA1_HUMAN	Q9BSB4	Autophagy-related protein 101	ATG101 C12orf44 PP894	ATG101	FALSE	NA	NA	ENSG00000123395	ATG101	protein_coding	autophagy related 101 [Source:HGNC Symbol;Acc:HGNC:25679]	-0.586705215577474	0.612727578886815	0.970404197863074	-0.95522365118496	-0.463991608148423	0.708177238988311	0	0.271870981899932	0.431168733722256
ATIF1_HUMAN	Q9UII2	ATPase inhibitor, mitochondrial (ATP synthase F1 subunit epsilon) (Inhibitor of F(1)F(o)-ATPase) (IF(1)) (IF1)	ATP5IF1 ATPI ATPIF1	ATP5IF1	TRUE	NA	NA	ENSG00000130770	ATPIF1	protein_coding	ATP synthase inhibitory factor subunit 1 [Source:HGNC Symbol;Acc:HGNC:871]	-0.175937194778928	0.21098862824734	0.541445666921262	-0.349908335581173	0.00505903689217903	0.358756043611155	0	0.28115158890693	0.978451665279113
ATM_HUMAN	Q13315	Serine-protein kinase ATM (EC 2.7.11.1) (Ataxia telangiectasia mutated) (A-T mutated)	ATM	ATM	FALSE	NA	NA	ENSG00000149311	ATM	protein_coding	ATM serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:795]	-0.719807010060565	-0.394614029514366	0.0726096117729003	-0.325108417240537	0.137142706334272	0.546497383310221	1	0.0945323326493176	0.564233378742774
ATP5E_HUMAN	P56381	ATP synthase subunit epsilon, mitochondrial (ATPase subunit epsilon) (ATP synthase F1 subunit epsilon)	ATP5F1E ATP5E	ATP5F1E	TRUE	NA	NA	ENSG00000124172	ATP5E	protein_coding	ATP synthase F1 subunit epsilon [Source:HGNC Symbol;Acc:HGNC:838]	-0.300773079050024	0.273443665809606	0.702152371577619	-0.471787820788243	0.0312185117375674	0.518893864232274	0	0.344177593059062	0.908626247495049
ATP68_HUMAN	P56378	ATP synthase subunit ATP5MJ, mitochondrial (6.8 kDa mitochondrial proteolipid protein) (MLQ) (ATP synthase membrane subunit 6.8PL)	ATP5MJ ATP5MPL C14orf2 MP68 PRO1574	ATP5MJ	TRUE	NA	NA	ENSG00000156411	C14orf2	protein_coding	ATP synthase membrane subunit j [Source:HGNC Symbol;Acc:HGNC:1188]	-0.558082201132766	-0.189465083901386	0.241606019977918	-0.656869796784443	-0.361497105191112	0.0300646901999971	0	0.386571210127352	0.0695928208048966
ATP7A_HUMAN	Q04656	Copper-transporting ATPase 1 (EC 7.2.2.8) (Copper pump 1) (Menkes disease-associated protein)	ATP7A MC1 MNK	ATP7A	FALSE	NA	NA	ENSG00000165240	ATP7A	protein_coding	ATPase copper transporting alpha [Source:HGNC Symbol;Acc:HGNC:869]	-0.349960475454288	0.358704274089348	0.806241269870266	-0.387324011526741	0.320450308282595	0.790568409833098	0	0.308740742689162	0.366671326669933
